video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode
--qXJuDtHPw,0,,1.0,,,,,train
-3g5yACwYnA,0,,1.0,,,,,train
-3nNcZdcdvU,0,,0.3333333432674408,,,,,train
-571d8cVauQ,0,,0.0,,,,,train
-6rXp3zJ3kc,0,,0.0,,,,,train
-9YyBTjo1zo,0,,-1.0,,,,,train
-9y-fZ3swSY,0,,1.0,,,,,train
-AUZQgSxyPQ,0,,0.6666666865348816,,,,,train
-Alixo7euuU,0,,0.0,,,,,train
-Eqdz5y4pEY,0,,-0.3333333432674408,,,,,train
-HeZS2-Prhc,0,,1.3333333730697632,,,,,train
-HvKLjmsO5U,0,,1.3333333730697632,,,,,train
-HwX2H8Z4hY,0,,0.0,,,,,train
-IUUR2yyNbw,0,,0.3333333432674408,,,,,train
-I,e4mIh0yE,,-0.6666666865348816,,,,,train
-IqSFQePnpU,0,,0.0,,,,,train
-KCahx2qBOI,0,,-0.3333333432674408,,,,,train
-LnuDPiuuZw,0,,0.3333333432674408,,,,,train
-MeTTeMJBNc,0,,0.3333333432674408,,,,,train
-NFrJFQijFE,0,,0.0,,,,,train
-RfYyzHpjk4,0,,2.0,,,,,train
-RpZEe4w4fY,0,,2.3333332538604736,,,,,train
-SYSVSQnTnA,0,,1.6666666269302368,,,,,train
-THoVjtIkeU,0,,1.6666666269302368,,,,,train
-UUCSKoHeMA,0,,0.0,,,,,train
-UacrmKiTn4,0,,-0.6666666865348816,,,,,train
-UuX1xuaiiE,0,,2.6666667461395264,,,,,train
-VmheDA92mM,0,,-2.6666667461395264,,,,,train
-WXXTNIJcVM,0,,2.0,,,,,train
-ZgjBOA1Yhw,0,,-0.3333333432674408,,,,,train
-a55Q6RWvTA,0,,0.6666666865348816,,,,,train
-aNfi7CP8vM,0,,0.0,,,,,train
-aqamKhZ1Ec,0,,-2.0,,,,,train
-bl5PfNIYrk,0,,1.0,,,,,train
-cEhr0cQcDM,0,,1.3333333730697632,,,,,train
-cmk6cfUeMs,0,,0.6666666865348816,,,,,train
-dZ1TCboxcQ,0,,0.0,,,,,train
-dxfTGcXJoc,0,,1.0,,,,,train
-egA8-b7-3M,0,,0.6666666865348816,,,,,train
-hPfPhUIzfA,0,,1.6666666269302368,,,,,train
-hnBHBN8p5A,0,,2.3333332538604736,,,,,train
-iRBcNs9oI8,0,,1.6666666269302368,,,,,train
-l,53IwQoj0,,0.3333333432674408,,,,,train
-lqc32Zpr7M,0,,0.0,,,,,train
-lzEya4AM,4,,-0.3333333432674408,,,,,train
-m9KtvCk,L8,,0.0,,,,,train
-mJ2ud6oKI8,0,,0.0,,,,,train
-mqbVkbCndg,0,,0.0,,,,,train
-o,667Ny7RM,,1.0,,,,,train
-qDkUB0GgYY,0,,2.0,,,,,train
-qMhGeJkp5o,0,,1.6666666269302368,,,,,train
-ri04Z7vwnc,0,,0.0,,,,,train
-rxZxtG0xmY,0,,-1.0,,,,,train
-s9qJ7ATP7w,0,,-0.3333333432674408,,,,,train
-t217m2on-s,0,,0.6666666865348816,,,,,train
-tANM6ETl,M,,-0.6666666865348816,,,,,train
-tPCytz4rww,0,,0.0,,,,,train
-uywlfIYOS8,0,,0.3333333432674408,,,,,train
-vxjVxOeScU,0,,0.6666666865348816,,,,,train
-wMB,hJL-3o,,1.0,,,,,train
-wdUIwjDMfg,0,,2.0,,,,,train
-wny0OAz3g8,0,,0.3333333432674408,,,,,train
-yRb-Jum7EQ,0,,0.0,,,,,train
03X1FwF6udc,0,,0.3333333432674408,,,,,train
06st0Ez,E,,0.0,,,,,train
07Z16yRBFUQ,0,,0.6666666865348816,,,,,train
08d4NTXkSxw,0,,0.0,,,,,train
0AA-wmk8WdA,0,,0.3333333432674408,,,,,train
0AkGtPzl7D8,0,,0.6666666865348816,,,,,train
0BVed2nBq1g,0,,0.0,,,,,train
0DBfvvIVmqY,0,,1.0,,,,,train
0EAAfLCQabY,0,,-0.3333333432674408,,,,,train
0EphpADwdPg,0,,0.3333333432674408,,,,,train
0FA32bEZ6xI,0,,0.3333333432674408,,,,,train
0Fqav67TDEw,0,,0.3333333432674408,,,,,train
0JaYazphxfM,0,,1.0,,,,,train
0JuRmhhgMw8,0,,1.0,,,,,train
0K7dCp80n9c,0,,1.6666666269302368,,,,,train
0OC3wf9x3zQ,0,,0.3333333432674408,,,,,train
0OXeN3MhFeA,0,,1.0,,,,,train
0PlQc98SccA,0,,0.6666666865348816,,,,,train
0SfejBuLgFo,0,,0.0,,,,,train
0Svu5BldR5A,0,,1.6666666269302368,,,,,train
0W4WsjhDgUI,0,,0.0,,,,,train
0WIwQgH4lKg,0,,1.6666666269302368,,,,,train
0Xs8wJrAmxs,0,,0.3333333432674408,,,,,train
0YdYFtVdlWE,0,,0.0,,,,,train
0YiAKqU36KE,0,,-1.0,,,,,train
0bsTzavb-AE,0,,0.6666666865348816,,,,,train
0bxhZ-LIfZY,0,,-0.3333333432674408,,,,,train
0cBmQ,ItVUc,,-0.6666666865348816,,,,,train
0eTibWQdO5M,0,,-0.6666666865348816,,,,,train
0hCOCt6fWas,0,,0.0,,,,,train
0hCihQ5Kep0,0,,0.6666666865348816,,,,,train
0jtdrsmVzYQ,0,,-0.3333333432674408,,,,,train
0mXv97u2OCM,0,,0.0,,,,,train
0nJrksJ7azM,0,,1.3333333730697632,,,,,train
0p9XKC,J3hU,,0.3333333432674408,,,,,train
0r8KVXUCV6c,0,,-2.0,,,,,train
0rE8jEvQW,I,,2.0,,,,,train
0tkWa2skSmA,0,,0.0,,,,,train
0uftSGdwo0Q,0,,0.0,,,,,train
0utROiKxejc,0,,0.0,,,,,train
0vXaXWx7Rvo,0,,2.6666667461395264,,,,,train
0y022OlZ3W0,0,,0.0,,,,,train
0zl,GDVzykw,,-0.3333333432674408,,,,,train
100178,0,,0.0,,,,,train
100499,0,,0.3333333432674408,,,,,train
101787,0,,0.0,,,,,train
101851,0,,0.0,,,,,train
102168,0,,0.3333333432674408,,,,,train
102184,0,,0.0,,,,,train
10219,0,,0.0,,,,,train
102213,0,,0.0,,,,,train
10223,0,,0.3333333432674408,,,,,train
102389,0,,0.0,,,,,train
102408,0,,0.0,,,,,train
102858,0,,0.3333333432674408,,,,,train
104741,0,,0.0,,,,,train
106077,0,,0.3333333432674408,,,,,train
106514,0,,0.3333333432674408,,,,,train
106941,0,,0.0,,,,,train
107551,0,,0.0,,,,,train
107585,0,,0.3333333432674408,,,,,train
108146,0,,0.0,,,,,train
108793,0,,0.0,,,,,train
110203,0,,0.3333333432674408,,,,,train
110565,0,,-2.0,,,,,train
110754,0,,0.0,,,,,train
110766,0,,0.6666666865348816,,,,,train
110788,0,,0.0,,,,,train
111881,0,,0.0,,,,,train
112148,0,,0.0,,,,,train
112169,0,,0.3333333432674408,,,,,train
112223,0,,0.0,,,,,train
112425,0,,0.0,,,,,train
112433,0,,0.0,,,,,train
112509,0,,-0.3333333432674408,,,,,train
112604,0,,0.3333333432674408,,,,,train
112631,0,,0.0,,,,,train
112903,0,,0.3333333432674408,,,,,train
113265,0,,-1.6666666269302368,,,,,train
114624,0,,0.0,,,,,train
116213,0,,0.3333333432674408,,,,,train
11650,0,,0.3333333432674408,,,,,train
117tQqLjza4,0,,0.6666666865348816,,,,,train
119348,0,,0.3333333432674408,,,,,train
11UtTaDYgII,0,,1.6666666269302368,,,,,train
11j7EfglCAs,0,,0.6666666865348816,,,,,train
120vnZnmhq4,0,,1.6666666269302368,,,,,train
121128,0,,0.0,,,,,train
121358,0,,0.0,,,,,train
121400,0,,0.0,,,,,train
122439,0,,0.0,,,,,train
122602,0,,0.0,,,,,train
122842,0,,0.3333333432674408,,,,,train
125344,0,,0.6666666865348816,,,,,train
